iter	Passed	Remaining
0	113	113082
1	113	56777
2	114	37990
3	114	28593
4	115	23056
5	116	19281
6	116	16592
7	117	14578
8	118	12999
9	118	11737
10	119	10704
11	119	9843
12	120	9115
13	120	8499
14	121	7959
15	121	7484
16	122	7064
17	122	6691
18	123	6356
19	123	6056
20	124	5785
21	124	5537
22	125	5312
23	125	5105
24	126	4915
25	126	4739
26	127	4578
27	128	4453
28	129	4319
29	129	4194
30	130	4070
31	130	3953
32	131	3844
33	131	3741
34	132	3645
35	132	3553
36	133	3467
37	133	3386
38	134	3311
39	135	3241
40	135	3170
41	136	3106
42	136	3042
43	137	2982
44	137	2923
45	138	2870
46	138	2816
47	139	2764
48	140	2717
49	140	2672
50	141	2629
51	141	2586
52	142	2543
53	142	2502
54	143	2463
55	143	2425
56	144	2387
57	144	2352
58	145	2318
59	145	2285
60	146	2253
61	146	2221
62	147	2191
63	147	2161
64	148	2132
65	149	2111
66	149	2085
67	150	2059
68	150	2034
69	151	2010
70	151	1986
71	152	1963
72	152	1941
73	153	1918
74	153	1896
75	154	1875
76	154	1854
77	155	1834
78	155	1814
79	156	1795
80	156	1776
81	157	1758
82	157	1738
83	157	1720
84	158	1703
85	158	1687
86	159	1670
87	159	1655
88	160	1639
89	160	1624
90	161	1609
91	161	1594
92	162	1580
93	162	1566
94	163	1554
95	163	1542
96	164	1529
97	164	1516
98	165	1504
99	165	1492
100	166	1480
101	166	1469
102	167	1457
103	167	1445
104	168	1434
105	168	1423
106	169	1413
107	169	1402
108	171	1401
109	172	1391
110	172	1381
111	173	1371
112	173	1362
113	174	1353
114	174	1343
115	175	1334
116	175	1324
117	175	1315
118	176	1305
119	176	1297
120	177	1288
121	177	1279
122	178	1272
123	178	1264
124	179	1256
125	180	1248
126	180	1240
127	180	1232
128	181	1225
129	181	1217
130	182	1210
131	182	1203
132	183	1195
133	183	1188
134	184	1181
135	185	1176
136	185	1169
137	186	1162
138	186	1156
139	187	1149
140	187	1143
141	188	1136
142	188	1130
143	189	1124
144	189	1118
145	190	1112
146	190	1106
147	191	1100
148	191	1095
149	192	1089
150	192	1083
151	193	1077
152	193	1072
153	194	1066
154	194	1061
155	195	1056
156	195	1050
157	196	1045
158	196	1040
159	197	1035
160	197	1029
161	197	1024
162	198	1018
163	198	1013
164	199	1008
165	199	1004
166	200	999
167	200	994
168	201	989
169	201	985
170	202	980
171	202	975
172	203	971
173	203	966
174	204	962
175	204	957
176	205	953
177	205	948
178	205	944
179	206	940
180	206	936
181	207	932
182	207	928
183	208	924
184	208	919
185	209	915
186	209	911
187	210	907
188	210	904
189	211	900
190	211	896
191	212	892
192	212	888
193	213	885
194	213	881
195	214	877
196	214	874
197	214	870
198	215	867
199	215	863
200	216	860
201	216	856
202	217	853
203	217	849
204	218	847
205	218	843
206	219	840
207	219	837
208	220	834
209	220	831
210	221	827
211	222	825
212	222	822
213	223	819
214	223	816
215	224	813
216	224	811
217	225	808
218	225	805
219	226	802
220	226	799
221	227	797
222	227	794
223	228	791
224	228	788
225	229	785
226	229	782
227	230	780
228	230	777
229	231	774
230	231	771
231	232	769
232	232	766
233	233	764
234	234	762
235	234	759
236	235	757
237	235	754
238	236	752
239	236	749
240	237	747
241	237	744
242	238	742
243	238	739
244	239	737
245	239	735
246	240	732
247	240	730
248	241	727
249	241	725
250	242	723
251	242	720
252	243	718
253	243	716
254	244	714
